0:00.009;0:01.171;0:00.025
0:00.015;0:02.279;0:00.046
0:00.023;0:03.362;0:00.081
0:00.031;0:04.413;0:00.102
0:00.039;0:05.314;0:00.134
0:00.046;0:06.275;0:00.154
0:00.057;0:07.248;0:00.169
0:00.061;0:08.107;0:00.212
0:00.070;0:09.142;0:00.229
0:00.077;0:10.019;0:00.248
 
0:00.007;0:01.196;0:00.026
0:00.015;0:02.267;0:00.053
0:00.023;0:03.381;0:00.084
0:00.031;0:04.368;0:00.103
0:00.038;0:05.332;0:00.142
0:00.046;0:06.295;0:00.163
0:00.054;0:07.372;0:00.172
0:00.062;0:08.197;0:00.212
0:00.070;0:09.076;0:00.231
0:00.080;0:10.072;0:00.253
